b_units,0,30,50,70,90,phd
m_units,-1,0,20,40,60,phd
1,54626,61997,66894,71774,76745,79931
2,57353,64736,69621,74507,79479,82665
3,60090,67461,72352,77233,82205,85391
4,62818,70197,75089,79965,84943,88129
5,65545,72917,77815,82693,87672,90858
6,68277,75654,80547,85426,90403,93589
7,71005,78385,83270,88151,93132,96318
8,73736,81115,86010,90887,95869,99055
9,76470,83847,88734,93611,98593,101779
10,79195,86572,91466,96348,101320,104506
11,79195,89298,94193,99076,104056,107242
12,79195,92032,96925,101803,106779,109965
13,79195,92032,99653,104536,109516,112702
14,79195,92032,99653,104536,109516,112702
15,79195,92032,99653,108681,113661,116847
16,79195,92032,99653,108681,113661,116847
17,79195,92032,99653,112822,117804,120990
18,79195,92032,99653,112822,117804,120990
19,79195,92032,99653,112822,117804,120990
20,79195,92032,99653,116970,121946,125132
21,79195,92032,99653,116970,121946,125132
22,79195,92032,99653,116970,121946,125132
23,79195,92032,99653,116970,126090,129276
24,79195,92032,99653,116970,126090,129276
25,79195,92032,99653,116970,126090,129276
26,79195,92032,99653,116970,130233,133419
27,79195,92032,99653,116970,130233,133419
28,79195,92032,99653,116970,130233,133419
29,79195,92032,99653,116970,130233,133419
30,79195,92032,99653,116970,130233,133419
31,79195,92032,99653,116970,130233,133419
32,79195,92032,99653,116970,130233,133419
33,79195,92032,99653,116970,130233,133419
34,79195,92032,99653,116970,130233,133419
35,79195,92032,99653,116970,130233,133419
36,79195,92032,99653,116970,130233,133419
37,79195,92032,99653,116970,130233,133419
38,79195,92032,99653,116970,130233,133419
39,79195,92032,99653,116970,130233,133419
40,79195,92032,99653,116970,130233,133419
