b_units,0,30,50,70,90,phd
m_units,-1,0,20,40,60,phd
1,59140,62090,65200,68460,71880,75610
2,61270,64330,67550,70920,74470,78200
3,63470,66650,69980,73480,77150,80880
4,65760,69040,72500,76120,79930,83660
5,68120,71530,75110,78860,82800,86530
6,70580,74100,77810,81700,85790,89520
7,73120,76770,80610,84640,88870,92600
8,75750,79540,83510,87690,92070,95800
9,78480,82400,86520,90850,95390,99120
10,81300,85370,89630,94120,98820,102550
11,81300,85370,92860,97500,102380,106110
12,81300,85370,92860,101010,106070,109800
13,81300,85370,92860,101010,109880,113610
14,81300,85370,92860,101010,109880,113610
15,81300,85370,92860,101010,109880,113610
16,81300,85370,92860,101010,112510,116240
17,81300,85370,92860,101010,112510,116240
18,81300,85370,92860,101010,112510,116240
19,81300,85370,92860,101010,115190,118920
20,81300,85370,92860,101010,115190,118920
21,81300,85370,92860,101010,115190,118920
22,81300,85370,92860,101010,114940,118670
23,81300,85370,92860,101010,114940,118670
24,81300,85370,92860,101010,114940,118670
25,81300,85370,92860,101010,120760,124490
26,81300,85370,92860,101010,120760,124490
27,81300,85370,92860,101010,120760,124490
28,81300,85370,92860,101010,123640,127370
29,81300,85370,92860,101010,123640,127370
30,81300,85370,92860,101010,123640,127370
31,81300,85370,92860,101010,123640,127370
32,81300,85370,92860,101010,123640,127370
33,81300,85370,92860,101010,123640,127370
34,81300,85370,92860,101010,123640,127370
35,81300,85370,92860,101010,123640,127370
36,81300,85370,92860,101010,123640,127370
37,81300,85370,92860,101010,123640,127370
38,81300,85370,92860,101010,123640,127370
39,81300,85370,92860,101010,123640,127370
40,81300,85370,92860,101010,123640,127370
