b_units,0,30,54,78,102,phd
m_units,-1,0,24,48,72,phd
1,56400,60000,63600,67200,70800,72600
2,59400,63000,66600,70200,73800,75600
3,62400,66000,69600,73200,76800,78600
4,65400,69000,72600,76200,79800,81600
5,68400,72000,75600,79200,82800,84600
6,71400,75000,78600,82200,85800,87600
7,74400,78000,81600,85200,88800,90600
8,77400,81000,84600,88200,91800,93600
9,80400,84000,87600,91200,94800,96600
10,83400,87000,90600,94200,97800,99600
11,86400,90000,93600,97200,100800,102600
12,89400,93000,96600,100200,103800,105600
13,92400,96000,99600,103200,106800,108600
14,95400,99000,102600,106200,109800,111600
15,98400,102000,105600,109200,112800,114600
16,99300,102900,106500,110100,113700,115500
17,100200,103800,107400,111000,114600,116400
18,101100,104700,108300,111900,115500,117300
19,102000,105600,109200,112800,116400,118200
20,102900,106500,110100,113700,117300,119100
21,103800,107400,111000,114600,118200,120000
22,104700,108300,111900,115500,119100,120900
23,105600,109200,112800,116400,120000,121800
24,106500,110100,113700,117300,120900,122700
25,107400,111000,114600,118200,121800,123600
26,108300,111900,115500,119100,122700,124500
27,109200,112800,116400,120000,123600,125400
28,110100,113700,117300,120900,124500,126300
29,111000,114600,118200,121800,125400,127200
30,111900,115500,119100,122700,126300,128100
31,112500,116100,119700,123300,126900,128700
32,113100,116700,120300,123900,127500,129300
33,113700,117300,120900,124500,128100,129900
34,114300,117900,121500,125100,128700,130500
35,114900,118500,122100,125700,129300,131100
36,115500,119100,122700,126300,129900,131700
37,116100,119700,123300,126900,130500,132300
38,116700,120300,123900,127500,131100,132900
39,117300,120900,124500,128100,131700,133500
40,117900,121500,125100,128700,132300,134100
41,118500,122100,125700,129300,132900,134700
42,119100,122700,126300,129900,133500,135300
43,119700,123300,126900,130500,134100,135900
44,120300,123900,127500,131100,134700,136500
45,120900,124500,128100,131700,135300,137100
46,121500,125100,128700,132300,135900,137700
47,122100,125700,129300,132900,136500,138300
48,122700,126300,129900,133500,137100,138900
49,123300,126900,130500,134100,137700,139500
50,123900,127500,131100,134700,138300,140100
